epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,185.605,0.57033,2.60724,1.01105,0.79026,0.86872,0.89925,0.87088,0.26304,0.80912,0.7399,0.0099881,0.00332937,0.0099881,0.00332937,0.0099881,0.00332937,0.0099881,0.00332937
2,333.535,0.47662,1.1865,0.91934,0.88811,0.87731,0.97067,0.93368,0.30548,0.61479,0.75298,0.0197902,0.00659674,0.0197902,0.00659674,0.0197902,0.00659674,0.0197902,0.00659674
3,467.298,0.52324,0.92847,0.93183,0.7725,0.87269,0.94736,0.88553,0.37436,0.90824,0.80871,0.0293943,0.00979811,0.0293943,0.00979811,0.0293943,0.00979811,0.0293943,0.00979811
4,593.501,0.50671,0.81901,0.92464,0.92886,0.96558,0.99109,0.96276,0.27254,0.35079,0.73372,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,719.097,0.44707,0.66349,0.906,0.96262,0.98106,0.99253,0.97072,0.24145,0.26218,0.72158,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,845.078,0.40954,0.57086,0.89561,0.97554,0.97581,0.99373,0.97813,0.21125,0.25315,0.72391,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,971.238,0.37589,0.51028,0.88413,0.98121,0.96417,0.99446,0.9763,0.22345,0.22386,0.7287,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1118.1,0.36124,0.47212,0.8805,0.99623,0.99069,0.995,0.98054,0.19703,0.16471,0.71605,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1265.08,0.34756,0.43894,0.87694,0.98302,0.97984,0.99439,0.97899,0.20102,0.1845,0.7197,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1412.59,0.33345,0.41515,0.87543,0.99538,0.99778,0.99492,0.98466,0.1725,0.14081,0.70313,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1551.26,0.32469,0.39106,0.87112,0.99576,0.99484,0.995,0.98479,0.17042,0.14246,0.70161,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
